Designator,Mid X,Mid Y,Rotation,Layer
R48,95.908761,-32.390931,0.0,top
R49,90.658761,-31.640931,90.0,top
R5,85.91,-81.45,90.0,top
R50,92.908761,-30.640931,0.0,top
R51,93.658761,-25.890931,90.0,top
R52,49.918521,-93.33,180.0,top
R53,33.488521,-95.15,180.0,top
R54,78.093761,-38.600931,90.0,top
R55,90.15,-98.745,270.0,top
R56,104.359,-49.821,0.0,top
R57,103.609,-52.321,270.0,top
R58,105.109,-52.321,270.0,top
R59,100.859,-60.571,90.0,top
R6,93.48,-74.2,90.0,top
R60,76.91,-73.95,270.0,top
R61,94.23,-71.95,0.0,top
R62,83.91,-77.7,180.0,top
R63,80.91,-73.7,90.0,top
R64,83.41,-82.7,180.0,top
R65,94.23,-70.45,0.0,top
R66,95.16,-74.2,270.0,top
R7,90.66,-78.45,180.0,top
R75,80.91,-70.45,90.0,top
R76,87.16,-78.45,0.0,top
R77,101.31,-99.85,270.0,top
R8,78.843761,-33.600931,270.0,top
R9,79.593761,-31.350931,0.0,top
RC0,81.409,-56.755,0.0,top
RC1,84.409,-58.255,0.0,top
RC2,84.409,-59.755,0.0,top
RC3,71.229,-61.535,270.0,top
RIN1,96.66,-82.95,90.0,top
RPROG1,80.843761,-24.600931,270.0,top
RPROG2,99.359,-57.821,0.0,top
RPROG3,99.359,-56.321,180.0,top
RPROG5,90.668,-94.91,180.0,top
RSENSE1,84.909,-51.505,270.0,top
R_AC1,97.16,-78.45,270.0,top
R_AC2,82.66,-66.7,180.0,top
R_SENSE1,82.909,-49.255,0.0,top
R_SENSE2,82.909,-53.755,0.0,top
SW1,77.479,-61.535,180.0,top
U1,68.22,-82.295,270.0,top
U10,54.513,-75.8,0.0,top
U11,33.89455,-69.698029,90.0,top
U12,88.91,-74.36,270.0,top
U13,56.418521,-94.83,270.0,top
U14,66.409,-57.785,270.0,top
U15,74.729,-56.285,270.0,top
U16,88.16,-81.45,270.0,top
U17,103.81,-96.35,270.0,top
U19,39.238521,-97.65,270.0,top
U2,52.009495,-29.920931,180.0,top
U20,96.408761,-29.640931,270.0,top
U21,103.609,-56.571,180.0,top
U22,61.15,-69.817,270.0,top
U3,37.438761,-30.370931,180.0,top
U4,76.343761,-32.850931,90.0,top
U5,42.96,-49.8,0.0,top
U6,65.863761,-30.400931,180.0,top
U7,42.602,-58.34,0.0,top
U8,68.98,-96.655,90.0,top
U9,84.418,-104.281,270.0,top
USBC1,32.79455,-78.448029,270.0,top
