:15
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C18:1
C19:1
C2:1
C21:1
C22:1
C23:1
C24:1
C25:1
C27:1
C29:1
C3:1
C33:1
C35:1
C36:1
C38:1
C39:1
C4:1
C40:1
C5:1
C6:1
C65:1
C7:1
C8:1
CN1:1
C_SENSE7:1
C_SENSE8:1
C_SENSE9:1
D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D2:1
D3:1
D5:1
D6:1
D7:1
D8:1
D9:1
DSUB2:1
L1:1
L3:1
L5:1
Q1:1
Q11:1
Q14:1
Q17:1
Q18:1
Q2:1
Q21:1
Q22:1
Q23:1
Q24:1
Q25:1
Q26:1
Q27:1
Q28:1
Q3:1
Q5:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R18:1
R19:1
R2:1
R20:1
R21:1
R22:1
R24:1
R25:1
R26:1
R3:1
R31:1
R32:1
R33:1
R37:1
R38:1
R39:1
R4:1
R40:1
R41:1
R43:1
R44:1
R45:1
R46:1
R47:1
R48:1
R49:1
R5:1
R50:1
R51:1
R52:1
R53:1
R54:1
R6:1
R8:1
R9:1
RPROG10:1
RPROG11:1
RPROG12:1
RPROG13:1
RPROG14:1
RPROG15:1
RPROG8:1
RPROG9:1
RSENSE3:1
R_SENSE5:1
R_SENSE6:1
R_SENSE7:1
SW3:1
TP10:1
TP15:1
TP16:1
TP17:1
TP18:1
TP19:1
TP2:1
TP20:1
TP21:1
TP3:1
TP4:1
TP5:1
TP6:1
TP7:1
TP8:1
TP9:1
U1:1
U10:1
U12:1
U19:1
U2:1
U3:1
U4:1
U6:1
U7:1
USBC1:1
